# GeoKG 术语表（原 CONCEPTS + EXTENDED_CONCEPTS）
# 生成: python scripts/build_vocabulary.py   —— 请勿手工编辑
#
# 逐类标注来源。'geokg-authored' 表示这是**本仓库自编术语表**
# （Apache-2.0），而非从外部数据集提取——这是如实分类，不是免除引用。
# 外部来源：
#   iogp-epsg          EPSG 代码属 IOGP（T1）
#   iso-ogc-standards  标准编号属 ISO / OGC（T1）
#   un-frameworks      联合国文件（T2）
# 每行 3 列，制表符分隔: source_id	category	term
#
# 条目数按来源: geokg-authored=218, iogp-epsg=15, iso-ogc-standards=34, un-frameworks=27
geokg-authored	AnalysisMethods	Accuracy assessment
geokg-authored	AnalysisMethods	Attention mechanism
geokg-authored	AnalysisMethods	BFAST
geokg-authored	AnalysisMethods	CCDC
geokg-authored	AnalysisMethods	CVA
geokg-authored	AnalysisMethods	Change vector analysis
geokg-authored	AnalysisMethods	Confusion matrix
geokg-authored	AnalysisMethods	Convolutional neural network
geokg-authored	AnalysisMethods	Cross validation
geokg-authored	AnalysisMethods	Deep learning
geokg-authored	AnalysisMethods	Domain adaptation
geokg-authored	AnalysisMethods	Endmember extraction
geokg-authored	AnalysisMethods	Feature importance
geokg-authored	AnalysisMethods	Harmonic regression
geokg-authored	AnalysisMethods	Image differencing
geokg-authored	AnalysisMethods	Kappa coefficient
geokg-authored	AnalysisMethods	LandTrendr
geokg-authored	AnalysisMethods	Machine learning
geokg-authored	AnalysisMethods	Maximum likelihood
geokg-authored	AnalysisMethods	Object-based image analysis
geokg-authored	AnalysisMethods	Post-classification comparison
geokg-authored	AnalysisMethods	Principal component analysis
geokg-authored	AnalysisMethods	ROC curve
geokg-authored	AnalysisMethods	Random Forest
geokg-authored	AnalysisMethods	Recurrent neural network
geokg-authored	AnalysisMethods	SHAP
geokg-authored	AnalysisMethods	SVM
geokg-authored	AnalysisMethods	Segmentation
geokg-authored	AnalysisMethods	Spectral unmixing
geokg-authored	AnalysisMethods	Sub-pixel analysis
geokg-authored	AnalysisMethods	Supervised classification
geokg-authored	AnalysisMethods	Tasseled cap transformation
geokg-authored	AnalysisMethods	Time series analysis
geokg-authored	AnalysisMethods	Transfer learning
geokg-authored	AnalysisMethods	Transformer
geokg-authored	AnalysisMethods	Uncertainty quantification
geokg-authored	AnalysisMethods	Unsupervised classification
geokg-authored	AnalysisMethods	Vegetation indices
geokg-authored	DataFormats	3D Tiles
geokg-authored	DataFormats	COG
geokg-authored	DataFormats	CityGML
geokg-authored	DataFormats	FlatGeobuf
geokg-authored	DataFormats	GML
geokg-authored	DataFormats	GPX
geokg-authored	DataFormats	GeoJSON
geokg-authored	DataFormats	GeoPackage
geokg-authored	DataFormats	GeoParquet
geokg-authored	DataFormats	GeoTIFF
geokg-authored	DataFormats	KML
geokg-authored	DataFormats	LAS
geokg-authored	DataFormats	LAZ
geokg-authored	DataFormats	NetCDF
geokg-authored	DataFormats	OGC API
geokg-authored	DataFormats	STAC
geokg-authored	DataFormats	Shapefile
geokg-authored	DataFormats	WCS
geokg-authored	DataFormats	WFS
geokg-authored	DataFormats	WMS
geokg-authored	DataFormats	WMTS
geokg-authored	DataFormats	Zarr
geokg-authored	DataProducts	Aspect
geokg-authored	DataProducts	Bathymetry
geokg-authored	DataProducts	Built-up area
geokg-authored	DataProducts	Burn scar
geokg-authored	DataProducts	Canopy Height Model
geokg-authored	DataProducts	Chlorophyll-a
geokg-authored	DataProducts	Coastline
geokg-authored	DataProducts	Cropland extent
geokg-authored	DataProducts	Curvature
geokg-authored	DataProducts	Digital Elevation Model
geokg-authored	DataProducts	Digital Surface Model
geokg-authored	DataProducts	Drought index
geokg-authored	DataProducts	EVI composite
geokg-authored	DataProducts	Flood depth
geokg-authored	DataProducts	Flood extent
geokg-authored	DataProducts	Flow accumulation
geokg-authored	DataProducts	Forest cover
geokg-authored	DataProducts	GDP grid
geokg-authored	DataProducts	Glacier outline
geokg-authored	DataProducts	Hillshade
geokg-authored	DataProducts	Ice extent
geokg-authored	DataProducts	Impervious surface
geokg-authored	DataProducts	Land cover classification
geokg-authored	DataProducts	Land surface temperature
geokg-authored	DataProducts	MNDWI water mask
geokg-authored	DataProducts	NBR burn severity
geokg-authored	DataProducts	NBR2
geokg-authored	DataProducts	NDBI built-up
geokg-authored	DataProducts	NDMI moisture
geokg-authored	DataProducts	NDVI composite
geokg-authored	DataProducts	NDWI water mask
geokg-authored	DataProducts	Nighttime lights
geokg-authored	DataProducts	Population grid
geokg-authored	DataProducts	SAVI composite
geokg-authored	DataProducts	Sea surface temperature
geokg-authored	DataProducts	Slope
geokg-authored	DataProducts	Snow cover
geokg-authored	DataProducts	Surface water occurrence
geokg-authored	DataProducts	Surface water seasonality
geokg-authored	DataProducts	Tree canopy height
geokg-authored	DataProducts	Turbidity
